title,url,stars,name,reviewUrl,text
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,4,Than pohwai,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xGSFJub3dRblYyYVV3MlYzQmxlR04yT0haR1oyYxAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CAIQACodChtycF9oOlFHRnowQnV2aUw2V3BleGN2OHZGZ2c%7C0cc9czj4nb1%7C?hl=en,
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,1,Rah,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214YWJGaHNhVWxZWjNwSFgwWnVNbU5RTlRaNmVGRRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CAIQACodChtycF9oOmxabFhsaUlYZ3pHX0ZuMmNQNTZ6eFE%7C0cRljefV8u-%7C?hl=en,"Management in this region is not the best! Note that regardless of your circumstances, they will give the excuse that “their policy is consistent across all clubs” and charge you extra when pausing membership. Which is not true, if your AF is under the northeast side, the management is more lenient and understanding of your circumstances. Just a PSA to not use the gym in this region so often to the point ur membership is converted here! Stick to other AF in the other region :-)"
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,5,Lin HaiHong,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pReVFrNXVNVzFNU3poYVNuaFhNekJOYTJRM2NXYxAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CAIQACodChtycF9oOjQyQk5uMW1MSzhaSnhXMzBNa2Q3cWc%7C0cQv-opDRB5%7C?hl=en,感谢 Desmond 在关键时刻救了一位晕倒的女士，本人真心谢谢见义勇为的你.你是一位好员工，祝你前程似锦，好人一生平安。
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,5,Zentov,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQWDB1dlBVamNfVVVBEAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEPX0uvPUjc_UUA%7CCgsI4ZKRwQYQ8LzGcg%7C?hl=en,"I signed up today, and firdaus made the process smooth and clear. We were done within 10 minutes and I am glad to be part of the AF family!"
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,5,Tyler,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNZa0liR0N3EAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMCYkIbGCw%7CCgwItLzHwAYQ0J7NrwM%7C?hl=en,Firdaus has been very patient in assisting me with the membership sign up process. He answered my inquiries and made the sign up process really smooth. Great customer service!
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,5,yz,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvME0zXzlnRRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMCo0M3_9gE%7CCgwIn4D0vwYQqLS_5wE%7C?hl=en,
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,5,Stephen Tay,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJa05lY3N3RRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMDIkNecswE%7CCgwIm4fJvwYQyMqymQE%7C?hl=en,Staff is nice and approachable. Will explain everything and answer all questions you have regarding their branch/ location. Smooth signing up process over here
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,5,Rachael Ang Xuan Xuan,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNncE1yYVBnEAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMCgpMraPg%7CCgwI3fy7vQYQoPjj1wM%7C?hl=en,Firdaus was really patient and helpful during the signing up of the membership! He explained the contract well and clear.
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,1,StaticPulse,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURBcDZ5eF93RRAB!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgMDAp6yx_wE%7CCgwIidWxvQYQoOutqAI%7C?hl=en,The staff is always not available. Either go for more than 70 minutes break or come to work late or leave work earlier. Ridiculous.
Anytime Fitness,https://www.google.com/maps/search/?api=1&query=Anytime%20Fitness&query_place_id=ChIJ08t6PjYP2jERi4sIp8Z1Sw0,4,Hina Xtaa,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaamVXZUtREAE!2m1!1s0x0:0xd4b75c6a7088b8b!3m1!1s2@1:CIHM0ogKEICAgIDZjeWeKQ%7CCgsI6qHVugYQ8NbCKw%7C?hl=en,Better customer service than nanyang anytime fitness.
